Station,Year,Month,Day,Maximum temparature (celcius),Minimum temparature (celcius),Rainfall (millimetres)
AU_QLD_098,2006,04,24,26,15,357.2
AU_QLD_098,2006,04,25,13,1,174.3
AU_QLD_098,2006,04,26,33,7,37.6
AU_QLD_098,2006,04,27,6,-5,244.5
AU_QLD_098,2006,04,28,26,-3,249.5
AU_QLD_098,2006,04,29,18,-5,126.7
AU_QLD_098,2006,04,30,32,14,278.1
AU_QLD_098,2006,05,01,13,-2,275.2
AU_QLD_098,2006,05,02,39,2,85.1
AU_QLD_098,2006,05,03,6,-3,397.8
AU_QLD_098,2006,05,04,17,8,271.8
AU_QLD_098,2006,05,05,22,4,166.8
AU_QLD_098,2006,05,06,38,22,209.5
AU_QLD_098,2006,05,07,14,6,155.0
AU_QLD_098,2006,05,08,34,3,281.0
AU_QLD_098,2006,05,09,36,14,332.7
AU_QLD_098,2006,05,10,2,-4,86.4
AU_QLD_098,2006,05,11,22,4,297.7
AU_QLD_098,2006,05,12,22,10,187.2
AU_QLD_098,2006,05,13,4,-4,374.7
AU_QLD_098,2006,05,14,0,-7,27.4
AU_QLD_098,2006,05,15,2,-4,71.7
AU_QLD_098,2006,05,16,20,-3,270.1
AU_QLD_098,2006,05,17,3,-5,180.1
AU_QLD_098,2006,05,18,14,-4,43.1
AU_QLD_098,2006,05,19,6,-2,70.6
AU_QLD_098,2006,05,20,38,23,395.6
AU_QLD_098,2006,05,21,29,8,167.5
AU_QLD_098,2006,05,22,6,-1,44.2
AU_QLD_098,2006,05,23,9,-3,38.0
AU_QLD_098,2006,05,24,2,-4,283.3
AU_QLD_098,2006,05,25,22,-2,288.1
AU_QLD_098,2006,05,26,14,2,328.3
AU_QLD_098,2006,05,27,13,-4,327.1
AU_QLD_098,2006,05,28,12,-1,213.1
AU_QLD_098,2006,05,29,4,-4,383.3
AU_QLD_098,2006,05,30,11,1,23.3
AU_QLD_098,2006,05,31,39,-4,43.0
AU_QLD_098,2006,06,01,24,10,339.8
AU_QLD_098,2006,06,02,19,13,196.2
AU_QLD_098,2006,06,03,32,11,370.5
AU_QLD_098,2006,06,04,37,-4,322.1
AU_QLD_098,2006,06,05,11,-1,237.2
AU_QLD_098,2006,06,06,22,15,144.0
AU_QLD_098,2006,06,07,35,16,32.3
AU_QLD_098,2006,06,08,9,2,347.1
AU_QLD_098,2006,06,09,2,-5,362.4
AU_QLD_098,2006,06,10,19,0,147.2
AU_QLD_098,2006,06,11,23,14,299.2
AU_QLD_098,2006,06,12,10,-3,249.4
AU_QLD_098,2006,06,13,25,17,149.0
AU_QLD_098,2006,06,14,15,5,287.3
AU_QLD_098,2006,06,15,17,5,172.4
AU_QLD_098,2006,06,16,27,20,154.6
AU_QLD_098,2006,06,17,20,13,197.0
AU_QLD_098,2006,06,18,36,2,387.7
AU_QLD_098,2006,06,19,31,9,154.7
AU_QLD_098,2006,06,20,9,3,1.4
AU_QLD_098,2006,06,21,0,-3,355.1
AU_QLD_098,2006,06,22,2,-5,368.3
AU_QLD_098,2006,06,23,35,11,349.3
AU_QLD_098,2006,06,24,32,23,156.1
AU_QLD_098,2006,06,25,26,7,295.4
AU_QLD_098,2006,06,26,2,-4,6.0
AU_QLD_098,2006,06,27,3,-3,0.6
AU_QLD_098,2006,06,28,14,-1,14.8
AU_QLD_098,2006,06,29,38,9,378.6
AU_QLD_098,2006,06,30,19,7,230.4
AU_QLD_098,2006,07,01,36,13,362.5
AU_QLD_098,2006,07,02,21,14,277.3
AU_QLD_098,2006,07,03,25,13,100.2
AU_QLD_098,2006,07,04,8,-5,65.8
AU_QLD_098,2006,07,05,17,-3,115.2
AU_QLD_098,2006,07,06,4,-4,163.2
AU_QLD_098,2006,07,07,14,6,334.6
AU_QLD_098,2006,07,08,39,19,70.0
AU_QLD_098,2006,07,09,32,20,84.2
AU_QLD_098,2006,07,10,37,8,232.8
AU_QLD_098,2006,07,11,35,18,1.4
AU_QLD_098,2006,07,12,27,10,184.3
AU_QLD_098,2006,07,13,20,2,294.2
AU_QLD_098,2006,07,14,7,-1,37.8
AU_QLD_098,2006,07,15,36,29,132.1
AU_QLD_098,2006,07,16,2,-5,309.5
AU_QLD_098,2006,07,17,3,-4,304.6
AU_QLD_098,2006,07,18,29,7,282.5
AU_QLD_098,2006,07,19,37,-4,241.1
AU_QLD_098,2006,07,20,39,12,366.8
AU_QLD_098,2006,07,21,0,-7,173.5
AU_QLD_098,2006,07,22,28,14,184.0
AU_QLD_098,2006,07,23,19,3,175.4
AU_QLD_098,2006,07,24,39,9,388.5
AU_QLD_098,2006,07,25,17,8,275.2
AU_QLD_098,2006,07,26,33,-4,255.2
AU_QLD_098,2006,07,27,11,0,232.8
AU_QLD_098,2006,07,28,6,-1,24.5
AU_QLD_098,2006,07,29,25,18,252.1
AU_QLD_098,2006,07,30,39,4,16.8
AU_QLD_098,2006,07,31,17,0,371.1
AU_QLD_098,2006,08,01,10,2,362.8
AU_QLD_098,2006,08,02,14,6,240.7
AU_QLD_098,2006,08,03,11,-5,363.0
AU_QLD_098,2006,08,04,2,-4,138.7
AU_QLD_098,2006,08,05,39,4,138.4
AU_QLD_098,2006,08,06,3,-4,8.5
AU_QLD_098,2006,08,07,35,6,337.2
AU_QLD_098,2006,08,08,17,11,181.4
AU_QLD_098,2006,08,09,16,9,42.0
AU_QLD_098,2006,08,10,22,-3,12.1
AU_QLD_098,2006,08,11,34,3,290.5
AU_QLD_098,2006,08,12,12,-2,316.7
AU_QLD_098,2006,08,13,28,15,40.3
AU_QLD_098,2006,08,14,34,1,4.7
AU_QLD_098,2006,08,15,13,-1,94.7
AU_QLD_098,2006,08,16,7,-1,56.4
AU_QLD_098,2006,08,17,5,-2,375.5
AU_QLD_098,2006,08,18,37,25,42.7
AU_QLD_098,2006,08,19,0,-3,263.7
AU_QLD_098,2006,08,20,23,2,353.6
AU_QLD_098,2006,08,21,1,-5,358.3
AU_QLD_098,2006,08,22,10,3,373.1
AU_QLD_098,2006,08,23,24,-1,300.2
AU_QLD_098,2006,08,24,39,23,288.1
AU_QLD_098,2006,08,25,20,-3,54.6
AU_QLD_098,2006,08,26,23,1,254.5
AU_QLD_098,2006,08,27,1,-5,15.6
AU_QLD_098,2006,08,28,21,-2,285.1
AU_QLD_098,2006,08,29,11,-2,71.4
AU_QLD_098,2006,08,30,23,7,61.6
AU_QLD_098,2006,08,31,17,8,159.8
AU_QLD_098,2006,09,01,21,1,49.8
AU_QLD_098,2006,09,02,2,-4,139.0
AU_QLD_098,2006,09,03,0,0,332.8
AU_QLD_098,2006,09,04,34,18,62.8
AU_QLD_098,2006,09,05,27,-1,356.1
AU_QLD_098,2006,09,06,30,0,32.8
AU_QLD_098,2006,09,07,13,7,2.3
AU_QLD_098,2006,09,08,27,4,27.3
AU_QLD_098,2006,09,09,37,18,80.7
AU_QLD_098,2006,09,10,2,-4,313.2
AU_QLD_098,2006,09,11,12,-2,201.7
AU_QLD_098,2006,09,12,23,6,24.6
AU_QLD_098,2006,09,13,38,29,251.3
AU_QLD_098,2006,09,14,13,-5,101.8
AU_QLD_098,2006,09,15,0,-9,39.1
AU_QLD_098,2006,09,16,11,-2,36.3
AU_QLD_098,2006,09,17,19,2,63.4
AU_QLD_098,2006,09,18,9,2,373.8
AU_QLD_098,2006,09,19,7,-1,23.6
AU_QLD_098,2006,09,20,11,4,176.4
AU_QLD_098,2006,09,21,25,-3,69.2
AU_QLD_098,2006,09,22,4,-3,90.7
AU_QLD_098,2006,09,23,13,3,17.5
AU_QLD_098,2006,09,24,20,12,381.0
AU_QLD_098,2006,09,25,3,-3,229.4
AU_QLD_098,2006,09,26,11,-3,116.7
AU_QLD_098,2006,09,27,5,-3,189.5
AU_QLD_098,2006,09,28,10,0,379.3
AU_QLD_098,2006,09,29,7,-1,86.5
AU_QLD_098,2006,09,30,24,-5,163.6
AU_QLD_098,2006,10,01,22,-1,307.5
AU_QLD_098,2006,10,02,3,-5,347.1
AU_QLD_098,2006,10,03,33,8,99.1
AU_QLD_098,2006,10,04,34,1,232.1
AU_QLD_098,2006,10,05,27,0,12.6
AU_QLD_098,2006,10,06,26,10,237.2
AU_QLD_098,2006,10,07,30,17,99.5
AU_QLD_098,2006,10,08,21,-3,67.6
AU_QLD_098,2006,10,09,16,-3,65.0
AU_QLD_098,2006,10,10,27,3,370.0
AU_QLD_098,2006,10,11,17,6,47.8
AU_QLD_098,2006,10,12,21,-3,149.8
AU_QLD_098,2006,10,13,11,2,186.1
AU_QLD_098,2006,10,14,12,3,42.4
AU_QLD_098,2006,10,15,0,-8,143.2
AU_QLD_098,2006,10,16,38,28,63.2
AU_QLD_098,2006,10,17,15,-4,239.0
AU_QLD_098,2006,10,18,33,17,150.5
AU_QLD_098,2006,10,19,31,5,44.4
AU_QLD_098,2006,10,20,6,-3,129.6
AU_QLD_098,2006,10,21,18,6,234.1
AU_QLD_098,2006,10,22,22,7,101.6
AU_QLD_098,2006,10,23,27,20,14.3
AU_QLD_098,2006,10,24,0,-3,315.0
AU_QLD_098,2006,10,25,32,13,226.4
AU_QLD_098,2006,10,26,9,-1,362.3
AU_QLD_098,2006,10,27,24,15,46.4
AU_QLD_098,2006,10,28,25,3,206.3
AU_QLD_098,2006,10,29,12,5,112.1
AU_QLD_098,2006,10,30,4,-3,196.2
AU_QLD_098,2006,10,31,34,14,309.5
AU_QLD_098,2006,11,01,38,10,106.0
AU_QLD_098,2006,11,02,21,15,189.3
AU_QLD_098,2006,11,03,38,1,355.6
AU_QLD_098,2006,11,04,22,10,154.0
AU_QLD_098,2006,11,05,27,6,177.7
AU_QLD_098,2006,11,06,38,7,32.6
AU_QLD_098,2006,11,07,17,1,57.8
AU_QLD_098,2006,11,08,16,5,6.4
AU_QLD_098,2006,11,09,29,7,162.2
AU_QLD_098,2006,11,10,19,10,52.7
AU_QLD_098,2006,11,11,20,11,293.6
AU_QLD_098,2006,11,12,6,-5,371.6
AU_QLD_098,2006,11,13,16,-5,302.1
AU_QLD_098,2006,11,14,10,3,111.5
AU_QLD_098,2006,11,15,2,-5,201.3
AU_QLD_098,2006,11,16,27,8,87.7
AU_QLD_098,2006,11,17,8,2,21.2
AU_QLD_098,2006,11,18,15,0,107.1
AU_QLD_098,2006,11,19,32,22,244.5
AU_QLD_098,2006,11,20,28,-4,77.3
AU_QLD_098,2006,11,21,11,4,392.1
AU_QLD_098,2006,11,22,30,7,352.0
AU_QLD_098,2006,11,23,19,-5,215.8
AU_QLD_098,2006,11,24,30,-1,28.1
AU_QLD_098,2006,11,25,20,13,248.1
AU_QLD_098,2006,11,26,3,-5,135.6
AU_QLD_098,2006,11,27,14,1,212.7
AU_QLD_098,2006,11,28,29,-5,124.3
AU_QLD_098,2006,11,29,8,1,261.7
AU_QLD_098,2006,11,30,20,6,200.0
AU_QLD_098,2006,12,01,30,21,201.6
AU_QLD_098,2006,12,02,13,6,391.6
AU_QLD_098,2006,12,03,20,9,383.3
AU_QLD_098,2006,12,04,29,20,395.8
AU_QLD_098,2006,12,05,17,1,216.2
AU_QLD_098,2006,12,06,35,2,101.8
AU_QLD_098,2006,12,07,36,27,103.8
AU_QLD_098,2006,12,08,25,13,377.0
AU_QLD_098,2006,12,09,34,28,81.1
AU_QLD_098,2006,12,10,36,18,190.3
AU_QLD_098,2006,12,11,13,4,13.3
AU_QLD_098,2006,12,12,7,0,171.0
AU_QLD_098,2006,12,13,30,19,5.2
AU_QLD_098,2006,12,14,11,5,331.3
AU_QLD_098,2006,12,15,35,23,307.6
AU_QLD_098,2006,12,16,18,5,105.6
AU_QLD_098,2006,12,17,9,3,244.2
AU_QLD_098,2006,12,18,38,13,196.3
AU_QLD_098,2006,12,19,35,-5,120.4
AU_QLD_098,2006,12,20,23,-4,204.5
AU_QLD_098,2006,12,21,16,8,175.6
AU_QLD_098,2006,12,22,2,-4,162.0
AU_QLD_098,2006,12,23,24,16,285.0
AU_QLD_098,2006,12,24,9,-2,140.0
AU_QLD_098,2006,12,25,23,6,278.2
AU_QLD_098,2006,12,26,33,9,174.5
AU_QLD_098,2006,12,27,25,7,258.5
AU_QLD_098,2006,12,28,39,9,65.5
AU_QLD_098,2006,12,29,27,-3,26.3
AU_QLD_098,2006,12,30,18,-4,287.7
AU_QLD_098,2006,12,31,32,1,24.5
AU_QLD_098,2007,01,01,28,6,292.7
AU_QLD_098,2007,01,02,9,-5,266.7
AU_QLD_098,2007,01,03,0,-3,302.5
AU_QLD_098,2007,01,04,19,-5,128.2
AU_QLD_098,2007,01,05,37,5,158.2
AU_QLD_098,2007,01,06,5,-1,361.8
AU_QLD_098,2007,01,07,9,-2,309.8
AU_QLD_098,2007,01,08,14,4,281.1
AU_QLD_098,2007,01,09,6,-1,87.3
AU_QLD_098,2007,01,10,3,-4,390.1
AU_QLD_098,2007,01,11,23,16,394.8
AU_QLD_098,2007,01,12,6,-3,197.1
AU_QLD_098,2007,01,13,19,-2,247.0
AU_QLD_098,2007,01,14,39,20,385.4
AU_QLD_098,2007,01,15,9,-3,152.0
AU_QLD_098,2007,01,16,31,-1,324.8
AU_QLD_098,2007,01,17,34,20,232.3
AU_QLD_098,2007,01,18,8,0,188.1
AU_QLD_098,2007,01,19,18,-3,70.7
AU_QLD_098,2007,01,20,38,16,183.0
AU_QLD_098,2007,01,21,23,2,177.8
AU_QLD_098,2007,01,22,8,2,246.0
AU_QLD_098,2007,01,23,32,-1,284.8
AU_QLD_098,2007,01,24,6,-2,29.3
AU_QLD_098,2007,01,25,22,0,75.0
AU_QLD_098,2007,01,26,28,-2,17.6
AU_QLD_098,2007,01,27,37,-1,148.1
AU_QLD_098,2007,01,28,30,0,104.0
AU_QLD_098,2007,01,29,28,18,127.6
AU_QLD_098,2007,01,30,2,-4,12.8
AU_QLD_098,2007,01,31,32,17,118.7
AU_QLD_098,2007,02,01,32,24,280.1
AU_QLD_098,2007,02,02,21,4,197.3
AU_QLD_098,2007,02,03,28,14,377.0
AU_QLD_098,2007,02,04,12,-1,250.5
AU_QLD_098,2007,02,05,2,-5,237.4
AU_QLD_098,2007,02,06,5,-2,325.6
AU_QLD_098,2007,02,07,1,-5,55.1
AU_QLD_098,2007,02,08,7,-3,25.0
AU_QLD_098,2007,02,09,25,-4,200.7
AU_QLD_098,2007,02,10,34,18,9.6
AU_QLD_098,2007,02,11,4,-2,135.2
AU_QLD_098,2007,02,12,28,13,251.7
AU_QLD_098,2007,02,13,7,1,42.3
AU_QLD_098,2007,02,14,16,4,376.3
AU_QLD_098,2007,02,15,2,-4,170.4
AU_QLD_098,2007,02,16,31,22,25.6
AU_QLD_098,2007,02,17,27,3,19.3
AU_QLD_098,2007,02,18,11,-3,59.1
AU_QLD_098,2007,02,19,23,-4,64.3
AU_QLD_098,2007,02,20,31,25,251.8
AU_QLD_098,2007,02,21,17,9,307.8
AU_QLD_098,2007,02,22,24,10,363.3
AU_QLD_098,2007,02,23,32,0,186.0
AU_QLD_098,2007,02,24,38,10,363.5
AU_QLD_098,2007,02,25,29,3,347.5
AU_QLD_098,2007,02,26,19,3,95.1
AU_QLD_098,2007,02,27,26,3,376.2
AU_QLD_098,2007,02,28,26,19,303.6
AU_QLD_098,2007,03,01,19,3,27.1
AU_QLD_098,2007,03,02,25,13,50.3
AU_QLD_098,2007,03,03,16,-5,235.3
AU_QLD_098,2007,03,04,23,0,321.0
AU_QLD_098,2007,03,05,17,-2,36.0
AU_QLD_098,2007,03,06,6,-1,10.2
AU_QLD_098,2007,03,07,24,11,179.3
AU_QLD_098,2007,03,08,33,23,346.6
AU_QLD_098,2007,03,09,34,27,391.1
AU_QLD_098,2007,03,10,38,-5,17.3
AU_QLD_098,2007,03,11,14,-3,145.3
AU_QLD_098,2007,03,12,29,-1,50.0
AU_QLD_098,2007,03,13,3,-5,68.5
AU_QLD_098,2007,03,14,7,1,223.0
AU_QLD_098,2007,03,15,6,-3,21.0
AU_QLD_098,2007,03,16,8,-3,208.7
AU_QLD_098,2007,03,17,9,1,235.7
AU_QLD_098,2007,03,18,29,12,253.3
AU_QLD_098,2007,03,19,21,2,95.1
AU_QLD_098,2007,03,20,30,4,127.7
AU_QLD_098,2007,03,21,32,3,157.1
AU_QLD_098,2007,03,22,4,-3,131.3
AU_QLD_098,2007,03,23,23,3,305.6
AU_QLD_098,2007,03,24,12,6,54.5
AU_QLD_098,2007,03,25,5,-1,395.8
AU_QLD_098,2007,03,26,9,3,361.6
AU_QLD_098,2007,03,27,9,-4,251.4
AU_QLD_098,2007,03,28,29,12,382.6
AU_QLD_098,2007,03,29,20,3,388.3
AU_QLD_098,2007,03,30,0,-9,392.8
AU_QLD_098,2007,03,31,24,14,348.7
AU_QLD_098,2007,04,01,15,-5,207.0
AU_QLD_098,2007,04,02,17,4,90.8
AU_QLD_098,2007,04,03,38,8,233.2
AU_QLD_098,2007,04,04,31,14,151.3
AU_QLD_098,2007,04,05,14,-4,290.0
AU_QLD_098,2007,04,06,34,20,125.7
AU_QLD_098,2007,04,07,7,-2,84.8
AU_QLD_098,2007,04,08,12,5,170.3
AU_QLD_098,2007,04,09,22,11,127.0
AU_QLD_098,2007,04,10,10,3,205.6
AU_QLD_098,2007,04,11,8,-3,50.0
AU_QLD_098,2007,04,12,35,17,88.1
AU_QLD_098,2007,04,13,21,-2,399.4
AU_QLD_098,2007,04,14,23,15,44.4
AU_QLD_098,2007,04,15,13,6,154.3
AU_QLD_098,2007,04,16,24,17,351.4
AU_QLD_098,2007,04,17,29,18,282.1
AU_QLD_098,2007,04,18,4,-2,248.7
AU_QLD_098,2007,04,19,27,16,326.6
AU_QLD_098,2007,04,20,32,18,385.2
AU_QLD_098,2007,04,21,21,-3,121.0
AU_QLD_098,2007,04,22,6,-5,292.6
AU_QLD_098,2007,04,23,30,4,319.1
AU_QLD_098,2007,04,24,39,0,287.3
AU_QLD_098,2007,04,25,17,-3,261.1
AU_QLD_098,2007,04,26,34,6,351.5
AU_QLD_098,2007,04,27,27,7,140.4
AU_QLD_098,2007,04,28,11,4,248.4
AU_QLD_098,2007,04,29,28,3,293.1
AU_QLD_098,2007,04,30,35,22,330.3
AU_QLD_098,2007,05,01,30,22,229.6
AU_QLD_098,2007,05,02,30,20,365.5
AU_QLD_098,2007,05,03,36,5,259.0
AU_QLD_098,2007,05,04,32,14,310.3
AU_QLD_098,2007,05,05,4,-5,117.7
AU_QLD_098,2007,05,06,31,21,95.7
AU_QLD_098,2007,05,07,29,-2,118.6
AU_QLD_098,2007,05,08,4,-2,82.1
AU_QLD_098,2007,05,09,25,16,82.3
AU_QLD_098,2007,05,10,33,7,126.7
AU_QLD_098,2007,05,11,28,-1,56.6
AU_QLD_098,2007,05,12,3,-4,208.5
AU_QLD_098,2007,05,13,10,-3,391.7
AU_QLD_098,2007,05,14,1,-5,347.0
AU_QLD_098,2007,05,15,4,-4,320.7
AU_QLD_098,2007,05,16,18,11,128.0
AU_QLD_098,2007,05,17,11,0,26.4
AU_QLD_098,2007,05,18,3,-5,358.4
AU_QLD_098,2007,05,19,35,0,280.8
AU_QLD_098,2007,05,20,7,-5,83.4
AU_QLD_098,2007,05,21,1,-5,116.5
AU_QLD_098,2007,05,22,4,-3,335.1
AU_QLD_098,2007,05,23,37,4,232.5
AU_QLD_098,2007,05,24,12,4,8.5
AU_QLD_098,2007,05,25,24,18,95.6
AU_QLD_098,2007,05,26,0,0,216.1
AU_QLD_098,2007,05,27,39,-2,296.7
AU_QLD_098,2007,05,28,15,-3,320.3
AU_QLD_098,2007,05,29,13,-3,259.7
AU_QLD_098,2007,05,30,29,14,289.6
AU_QLD_098,2007,05,31,12,2,337.0
AU_QLD_098,2007,06,01,20,4,13.3
AU_QLD_098,2007,06,02,37,0,215.4
AU_QLD_098,2007,06,03,13,7,186.4
AU_QLD_098,2007,06,04,18,12,395.2
AU_QLD_098,2007,06,05,15,0,206.4
AU_QLD_098,2007,06,06,35,26,293.2
AU_QLD_098,2007,06,07,15,8,275.7
AU_QLD_098,2007,06,08,37,22,111.6
AU_QLD_098,2007,06,09,6,-4,196.1
AU_QLD_098,2007,06,10,12,1,245.2
AU_QLD_098,2007,06,11,38,9,254.6
AU_QLD_098,2007,06,12,10,4,197.6
AU_QLD_098,2007,06,13,4,-4,240.0
AU_QLD_098,2007,06,14,21,12,128.2
AU_QLD_098,2007,06,15,31,13,74.7
AU_QLD_098,2007,06,16,12,-4,199.8
AU_QLD_098,2007,06,17,39,13,305.4
AU_QLD_098,2007,06,18,18,-2,190.1
AU_QLD_098,2007,06,19,14,4,201.1
AU_QLD_098,2007,06,20,1,-5,155.5
AU_QLD_098,2007,06,21,10,-1,105.1
AU_QLD_098,2007,06,22,32,6,327.6
AU_QLD_098,2007,06,23,0,-3,314.2
AU_QLD_098,2007,06,24,13,5,251.5
AU_QLD_098,2007,06,25,2,-5,248.2
AU_QLD_098,2007,06,26,27,12,340.6
AU_QLD_098,2007,06,27,18,6,223.2
AU_QLD_098,2007,06,28,5,-5,144.6
AU_QLD_098,2007,06,29,28,-4,222.8
AU_QLD_098,2007,06,30,32,14,174.1
AU_QLD_098,2007,07,01,7,-1,23.5
AU_QLD_098,2007,07,02,5,-1,305.4
AU_QLD_098,2007,07,03,20,8,220.0
AU_QLD_098,2007,07,04,4,-3,157.5
AU_QLD_098,2007,07,05,21,7,387.4
AU_QLD_098,2007,07,06,9,-4,120.7
AU_QLD_098,2007,07,07,31,-2,83.1
AU_QLD_098,2007,07,08,34,6,170.1
AU_QLD_098,2007,07,09,8,-1,212.6
AU_QLD_098,2007,07,10,14,7,157.5
AU_QLD_098,2007,07,11,33,4,83.5
AU_QLD_098,2007,07,12,39,2,13.7
AU_QLD_098,2007,07,13,28,13,27.5
AU_QLD_098,2007,07,14,32,-1,376.8
AU_QLD_098,2007,07,15,6,-1,236.2
AU_QLD_098,2007,07,16,16,-3,78.1
AU_QLD_098,2007,07,17,6,-1,311.1
AU_QLD_098,2007,07,18,29,23,81.7
AU_QLD_098,2007,07,19,4,-2,31.0
AU_QLD_098,2007,07,20,33,2,326.3
AU_QLD_098,2007,07,21,18,10,297.4
AU_QLD_098,2007,07,22,8,-3,82.1
AU_QLD_098,2007,07,23,22,2,44.2
